  -0.998027       -5.98481    
  -0.992115       -5.69760
  -0.982287       -5.43333
  -0.968583       -5.20126
  -0.951057       -5.00459
  -0.929776       -4.84027
  -0.904827       -4.70142
  -0.876307       -4.57975
  -0.844328       -4.46675
  -0.809017       -4.35393
  -0.770513       -4.23244
  -0.728969       -4.09234
  -0.684547       -3.9214
  -0.637424       -3.70313
  -0.587785       -3.41298
  -0.535827       -3.01264    
  -0.481754       -2.45681    
  -0.425779       -1.77359    
  -0.368125       -1.12186    
  -0.309017      -0.569686    
  -0.248690      -0.313599E-01
  -0.187381       0.643656    
  -0.125333        1.46328    
  -0.627905E-01    2.08376    
  -0.160812E-15    2.45105    
   0.627905E-01    2.67353    
   0.125333        2.79922    
   0.187381        2.82806    
   0.248690        2.72783    
   0.309017        2.46957    
   0.368125        2.13631    
   0.425779        1.88158    
   0.481754        1.73001    
   0.535827        1.63416    
   0.587785        1.55111    
   0.637424        1.44488    
   0.684547        1.27192    
   0.728969       0.973772    
   0.770513       0.542969    
   0.809017       0.142150    
   0.844328      -0.103710    
   0.876307      -0.226149    
   0.904827      -0.276259    
   0.929776      -0.284036    
   0.951057      -0.265394    
   0.968583      -0.229260    
   0.982287      -0.181169    
   0.992115      -0.124981    
   0.998027      -0.637185E-01
    1.00000        0.00000    
