    4.77059      -0.809327        12.0924       -2.05147       0.361505E-05  -0.329789E-05  -0.195168E-07   0.101254E-08  -0.410660E-05   0.437531E-06    0.00000        0.00000    
    23.8853       -4.05213        25.4207       -4.31260       0.178134E-04  -0.165082E-04  -0.974088E-07   0.530618E-08  -0.202119E-04   0.251556E-05    0.00000        0.00000    
    53.8919       -9.14273        33.6729       -5.71258       0.376937E-04  -0.371192E-04  -0.216843E-06   0.141926E-07  -0.425398E-04   0.831362E-05    0.00000        0.00000    
    89.4682       -15.1782        36.6806       -6.22284       0.554324E-04  -0.607617E-04  -0.349528E-06   0.311318E-07  -0.618414E-04   0.202923E-04    0.00000        0.00000    
    125.893       -21.3577        35.6168       -6.04237       0.650077E-04  -0.869269E-04  -0.469938E-06   0.584936E-07  -0.719925E-04   0.405121E-04    0.00000        0.00000    
    159.845       -27.1176        31.9741       -5.42438       0.937857E-04  -0.742200E-04  -0.563926E-06   0.941064E-07  -0.100081E-03   0.218627E-04    0.00000        0.00000    
    189.418       -32.1346        27.0497       -4.58896       0.918513E-04  -0.956621E-04  -0.629293E-06   0.132511E-06  -0.987649E-04   0.478699E-04    0.00000        0.00000    
    213.854       -36.2801        21.8462       -3.70619       0.843256E-04  -0.101022E-03  -0.671018E-06   0.168462E-06  -0.998522E-04   0.589270E-04    0.00000        0.00000    
    233.279       -39.5756        17.1454       -2.90871       0.791749E-04  -0.110923E-03  -0.696192E-06   0.199034E-06  -0.100441E-03   0.662021E-04    0.00000        0.00000    
    248.534       -42.1636        13.6118       -2.30923       0.771364E-04  -0.117059E-03  -0.711090E-06   0.223869E-06  -0.100745E-03   0.712793E-04    0.00000        0.00000    
    261.098       -44.2952        11.8653       -2.01294       0.755813E-04  -0.121052E-03  -0.720242E-06   0.244644E-06  -0.100927E-03   0.751226E-04    0.00000        0.00000    
    273.061       -46.3246        12.5059       -2.12162       0.739928E-04  -0.124193E-03  -0.726433E-06   0.264536E-06  -0.101069E-03   0.785550E-04    0.00000        0.00000    
    287.092       -48.7050        16.0889       -2.72947       0.719009E-04  -0.127270E-03  -0.730698E-06   0.287826E-06  -0.101197E-03   0.823861E-04    0.00000        0.00000    
    306.377       -51.9766        23.0841       -3.91620       0.684781E-04  -0.130725E-03  -0.731615E-06   0.319414E-06  -0.101173E-03   0.874350E-04    0.00000        0.00000    
    334.536       -56.7539        33.9139       -5.75348       0.622253E-04  -0.134392E-03  -0.723724E-06   0.363795E-06  -0.100444E-03   0.941859E-04    0.00000        0.00000    
    375.695       -63.7364        49.2456       -8.35448       0.511901E-04  -0.137134E-03  -0.695964E-06   0.422914E-06  -0.982805E-04   0.102394E-03    0.00000        0.00000    
    435.069       -73.8093        70.7893       -12.0094       0.333183E-04  -0.136791E-03  -0.632248E-06   0.492799E-06  -0.936646E-04   0.111323E-03    0.00000        0.00000    
    520.780       -88.3500        103.061       -17.4842       0.733690E-05  -0.129503E-03  -0.515385E-06   0.560372E-06  -0.847301E-04   0.119356E-03    0.00000        0.00000    
    648.402       -110.001        157.502       -26.7201      -0.240851E-04  -0.109214E-03  -0.330708E-06   0.598541E-06  -0.684566E-04   0.122761E-03    0.00000        0.00000    
    852.677       -144.656        264.275       -44.8341      -0.468335E-04  -0.715561E-04  -0.831156E-07   0.542648E-06  -0.417453E-04   0.112974E-03    0.00000        0.00000    
    1222.82       -207.450        515.128       -87.3911      -0.363066E-04  -0.320066E-04   0.109083E-06   0.311717E-06  -0.932904E-05   0.766664E-04    0.00000        0.00000    
    2039.94       -346.074        1273.29       -216.012      -0.998764E-05  -0.146962E-04   0.709392E-07   0.531986E-07   0.511439E-05   0.227026E-04    0.00000        0.00000    
    4584.68       -777.788        4852.11       -823.156      -0.836432E-06  -0.231186E-05   0.625672E-09  -0.153360E-08   0.354217E-06   0.559048E-06    0.00000        0.00000    
    22826.4       -3872.48        57763.6       -9799.55      -0.283068E-08  -0.194837E-07  -0.132717E-10  -0.149449E-10  -0.531889E-10   0.113301E-09    0.00000        0.00000    
