1617 0.056 0.015
1621 0.122 0.01
1626 0.18 0.07
1628 0.14 0.02
1630 0.227 0.018
1632 0.212 0.023
1633 0.13 0.02
1639 0.3 0.01
1641 0.336 0.04
1648 0.43 0.04
1652 0.427 0.034
1653 0.52 0.02
1661 0.46 0.05
1661 0.467 0.026
1662 0.576 0.051
1668 0.59 0.03
1670 0.652 0.031
1672 0.56 0.04
1673 0.588 0.073
1676 0.634 0.028
1678 0.686 0.031
1681 0.665 0.026
1683 0.67 0.04
1683 0.809 0.09
1683 0.69 0.07
1684 0.94 0.04
1684 0.675 0.026
1687 0.737 0.028
1689 0.734 0.034
1694 0.92 0.09
1694 0.59 0.12
1694 0.926 0.031
1695 0.57 0.06
1698 0.568 0.025
1701 0.651 0.037
1704 0.899 0.058
1707 0.64 0.026
1715 0.794 0.056
1722 0.82 0.13
1723 0.7 0.06
1724 0.68 0.1
1725 0.729 0.04
1735 0.575 0.034
1742 0.592 0.022
1743 0.462 0.026
1745 0.541 0.049
1750 0.64 0.07
1758 0.48 0.05
1776 0.58 0.07
1792 0.46 0.05
1797 0.485 0.035
1823 0.447 0.028
1825 0.25 0.025
1842 0.367 0.033
1847 0.32 0.03
1847 0.29 0.05
1879 0.25 0.05
1898 0.32 0.06
1908 0.29 0.06
1930 0.334 0.019
1934 0.214 0.023
1974 0.214 0.021
1938 0.22 0.045
1966 0.21 0.04
1985 0.208 0.025
1999 0.16 0.03
