1.930	  0.242	0.014
1.974	  0.262	0.016
1.985	  0.180	0.020
2.020	  0.153	0.009
2.093	  0.099	0.008
2.133	  0.098	0.010
2.137	  0.099	0.007
2.150	  0.090	0.010
2.181	  0.070	0.009
2.181	  0.087	0.008
2.219	  0.039	0.010
2.223	  0.065	0.005
2.265	  0.057	0.005
2.310	  0.053	0.007
2.407	  0.030	0.005
2.444	  0.031	0.005
2.463	  0.032	0.010
2.505	  0.022	0.007
2.556	  0.015	0.005
2.560	  0.022	0.004
2.602	  0.0155	0.003
2.632	  0.0155	0.002
2.862	  0.0085	0.0025
2.900	  0.005	0.003
2.948	  0.0045	0.0015
